Bird name,Species,No. of Unique Syllables,Sequence Linearity,Sequence Consistency,Sequence stereotypy,Transition Entropy,No. of Unique Start Syll,Fraction of Unique Start Syll,No. of Unique transitions
JF_ylw20gry09,JF,9,0.5625,0.7144686299615877,0.6384843149807938,6.347993097388017,2.0,0.2222222222222222,16.0
JF_ylw22gry08,JF,11,0.4074074074074074,0.6523046092184367,0.529856008312922,11.00976746767552,4.0,0.36363636363636365,27.0
JF_ylw25gry11,JF,10,0.43478260869565216,0.6489841986455982,0.5418834036706252,9.796266599892336,3.0,0.3,23.0
SF_y08s,SF,15,0.4838709677419355,0.823529411764706,0.6537001897533208,9.318097402288393,4.0,0.26666666666666666,31.0
SF_y14s,SF,11,0.36666666666666664,0.7172342621259029,0.5419504643962848,10.5105083716516,1.0,0.09090909090909091,30.0
SF_y47s,SF,12,0.48,0.7932405566600397,0.6366202783300199,8.185424916586602,1.0,0.08333333333333333,25.0
SF_y50s,SF,12,0.5217391304347826,0.7585199610516068,0.6401295457431947,8.202354341089777,2.0,0.16666666666666666,23.0
ZF_grn21org41,ZF,9,0.6,0.8100128369704749,0.7050064184852374,4.778199709594431,3.0,0.3333333333333333,15.0
ZF_org01wht58,ZF,9,0.42857142857142855,0.6903225806451614,0.559447004608295,8.03378544447151,2.0,0.2222222222222222,21.0
ZF_org11pnk05,ZF,10,0.38461538461538464,0.6548165137614679,0.5197159491884262,9.881254559677119,2.0,0.2,26.0
ZF_pnk93pnk91,ZF,10,0.47619047619047616,0.7935779816513763,0.6348842289209262,6.926175983951598,2.0,0.2,21.0
ZF_red15ylw15,ZF,8,0.5,0.7236842105263158,0.611842105263158,5.7838275078422114,2.0,0.25,16.0
ZF_red77pnk45,ZF,8,0.42105263157894735,0.7352941176470589,0.5781733746130031,6.266894954266939,2.0,0.25,19.0
ZF_ylw67brn42,ZF,9,0.47368421052631576,0.7862595419847328,0.6299718762555243,6.232503064367446,2.0,0.2222222222222222,19.0
ZF_ylw95ylw29,ZF,10,0.5,0.8057142857142857,0.6528571428571428,6.171722282281468,3.0,0.3,20.0
